"","name","year","rating","genre","runtime"
"1","Jai Bhim","(2021)","9.3","
Crime, Drama            ","164 min"
"2","The Shawshank Redemption","(1994)","9.3","
Drama            ","142 min"
"3","The Godfather","(1972)","9.2","
Crime, Drama            ","175 min"
"4","The Dark Knight","(2008)","9.0","
Action, Crime, Drama            ","152 min"
"5","The Godfather: Part II","(1974)","9.0","
Crime, Drama            ","202 min"
"6","12 Angry Men","(1957)","9.0","
Crime, Drama            ","96 min"
"7","The Lord of the Rings: The Return of the King","(2003)","8.9","
Action, Adventure, Drama            ","201 min"
"8","Pulp Fiction","(1994)","8.9","
Crime, Drama            ","154 min"
"9","Schindler's List","(1993)","8.9","
Biography, Drama, History            ","195 min"
"10","Inception","(2010)","8.8","
Action, Adventure, Sci-Fi            ","148 min"
"11","Fight Club","(1999)","8.8","
Drama            ","139 min"
"12","The Lord of the Rings: The Fellowship of the Ring","(2001)","8.8","
Action, Adventure, Drama            ","178 min"
"13","Forrest Gump","(1994)","8.8","
Drama, Romance            ","142 min"
"14","Il buono, il brutto, il cattivo","(1966)","8.8","
Adventure, Western            ","161 min"
"15","Spider-Man: No Way Home","(2021)","8.7","
Action, Adventure, Fantasy            ","148 min"
"16","The Lord of the Rings: The Two Towers","(2002)","8.7","
Action, Adventure, Drama            ","179 min"
"17","The Matrix","(1999)","8.7","
Action, Sci-Fi            ","136 min"
"18","Goodfellas","(1990)","8.7","
Biography, Crime, Drama            ","146 min"
"19","Star Wars: Episode V - The Empire Strikes Back","(1980)","8.7","
Action, Adventure, Fantasy            ","124 min"
"20","One Flew Over the Cuckoo's Nest","(1975)","8.7","
Drama            ","133 min"
"21","Gisaengchung","(2019)","8.6","
Comedy, Drama, Thriller            ","132 min"
"22","Interstellar","(2014)","8.6","
Adventure, Drama, Sci-Fi            ","169 min"
"23","Cidade de Deus","(2002)","8.6","
Crime, Drama            ","130 min"
"24","Sen to Chihiro no kamikakushi","(2001)","8.6","
Animation, Adventure, Family            ","125 min"
"25","Saving Private Ryan","(1998)","8.6","
Drama, War            ","169 min"
"26","The Green Mile","(1999)","8.6","
Crime, Drama, Fantasy            ","189 min"
"27","La vita è bella","(1997)","8.6","
Comedy, Drama, Romance            ","116 min"
"28","Se7en","(1995)","8.6","
Crime, Drama, Mystery            ","127 min"
"29","The Silence of the Lambs","(1991)","8.6","
Crime, Drama, Thriller            ","118 min"
"30","Star Wars","(1977)","8.6","
Action, Adventure, Fantasy            ","121 min"
"31","Seppuku","(1962)","8.6","
Action, Drama, Mystery            ","133 min"
"32","Shichinin no samurai","(1954)","8.6","
Action, Drama            ","207 min"
"33","It's a Wonderful Life","(1946)","8.6","
Comedy, Drama, Family            ","130 min"
"34","Whiplash","(2014)","8.5","
Drama, Music            ","106 min"
"35","The Intouchables","(2011)","8.5","
Biography, Comedy, Drama            ","112 min"
"36","The Prestige","(2006)","8.5","
Drama, Mystery, Thriller            ","130 min"
"37","The Departed","(2006)","8.5","
Crime, Drama, Thriller            ","151 min"
"38","The Pianist","(2002)","8.5","
Biography, Drama, Music            ","150 min"
"39","Gladiator","(2000)","8.5","
Action, Adventure, Drama            ","155 min"
"40","American History X","(1998)","8.5","
Drama            ","119 min"
"41","The Usual Suspects","(1995)","8.5","
Crime, Drama, Mystery            ","106 min"
"42","Léon","(1994)","8.5","
Action, Crime, Drama            ","110 min"
"43","The Lion King","(1994)","8.5","
Animation, Adventure, Drama            ","88 min"
"44","Terminator 2: Judgment Day","(1991)","8.5","
Action, Sci-Fi            ","137 min"
"45","Nuovo Cinema Paradiso","(1988)","8.5","
Drama, Romance            ","155 min"
"46","Hotaru no haka","(1988)","8.5","
Animation, Drama, War            ","89 min"
"47","Back to the Future","(1985)","8.5","
Adventure, Comedy, Sci-Fi            ","116 min"
"48","Once Upon a Time in the West","(1968)","8.5","
Western            ","165 min"
"49","Psycho","(1960)","8.5","
Horror, Mystery, Thriller            ","109 min"
"50","Rear Window","(1954)","8.5","
Mystery, Thriller            ","112 min"
